group,Acetatifactor,Acinetobacter,Aeromicrobium,Aureibacillus,Beggiatoa,Breznakibacter,Catenococcus,Clostridia_vadinBB60_group,Coprococcus,Corynebacterium,Dorea,Dubosiella,Eggerthella,Enterorhabdus,Erysipelotrichaceae_incertae_sedis,Escherichia-Shigella,Eubacterium_eligens_group,Eubacterium_fissicatena_group,Faecalibacillus,Faecalibacterium,Finegoldia,Halomonas,Holdemanella,IMCC26256,Kiloniella,Kineothrix,Lachnoclostridium,Lachnospiraceae_UCG-003,Lachnospiraceae_UCG-008,Leptotrichia,Leuconostoc,Limnohabitans,Megasphaera,Mobiluncus,Muribaculum,Neisseria,Parabacteroides,Parasutterella,Prevotellaceae_UCG-001,Rikenellaceae_RC9_gut_group,Ruminococcus,Schleiferia,Slackia,Steroidobacter,Thauera,Truepera,Tyzzerella,UCG-002,UCG-005
0,0,0,0,0,0,0,0,0.0459347726228755,0.529458694968934,0,0.74946207963639,0,0.00967047844692116,0,0,0.0362642941759544,0,0,0,10.3812586127699,0,0,0,0,0,0,0.718033024683896,0,0.280443874960714,0,0,0,0.00725285883519087,0,0,0.016923337282112,0.0531876314580664,0.41824819282934,0,0,6.83944588158499,0,0,0,0,0,0.140221937480357,3.50313081739719,0.83407876604695
0,0,0,0,0,0,0,0,0.0435203094777563,0.947775628626692,0,0.188588007736944,0,0,0,0,0,0.181334622823985,0,0,7.05754352030948,0,0,0.00483558994197292,0,0,0,0.563346228239845,0,0.369922630560928,0,0,0,0,0,0,0.00725338491295938,21.5232108317215,0.0217601547388781,0,0,3.4284332688588,0,0,0,0,0,0,2.96179883945841,0.0411025145067698
0,0,0,0,0,0,0,0,0,0.399364514859566,0,0.160328819834133,0,0,0,0,0.0422685070471804,0.0466411112244749,0,0,4.43965077467971,0,0,0.539287848532991,0,0,0,0.346893264732032,0,0.157413750382603,0,0,0,0,0,0,0.0568438543048288,1.36862510749319,0.0174904167091781,0,0,4.47025900392077,0,0.00583013890305937,0,0,0,0,0.91824687723185,0.0335232986925914
0,0,0,0,0,0,0,0,0,0.0412497135436559,0,0.160415552669773,0,0.0183332060194026,0,0,0,0.0549996180582079,0,0,9.37437934458788,0,0,0,0,0,0,0.939576808494385,0,0.204720800549996,0,0,0,0,0,0,0.0198609731876862,0,1.61026659537087,0,0,7.95661141242075,0,0.0870827285921626,0,0,0,0.516385302879841,0.863188450080208,0.200137499045145
0,0,0,0,0,0,0,0,0.0074861506213505,1.68937465688476,0,0.439187503119229,0,0,0.0174676847831512,0,1.07301492239357,0,0,0,2.33817437740181,0,0,0,0,0,0,0.543993611818136,0,0.14972301242701,0,0.0124769177022508,0,0.00499076708090033,0.0074861506213505,0,0,2.17098368019165,0,0,0,1.08549184009582,0,0,0,0,0,0,2.45046663672206,1.76673154663872
0,0,0,0,0,0,0,0,0,0,0,0.344805465567566,0,0.032074927029541,0,0,0.133110947172595,0,0,0,8.65221156621869,0,0,0,0,0,0,0.845174327228406,0,0,0,0,0,0,0,0,0,0,0.638291047887866,0,0,0.829136863713635,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2.04462525688881,0.838820618210796,0,0.509583525563058,0,0,0.0733968040934446,0,0.0482321855471207,0.0692027010023906,0,0,2.57517929790714,0,0,1.62940905087447,0,0,0,0.924799731577402,0.144696556641362,0.0314557731829048,0,0,0,0.0230675670007969,0,0,0.0272616700918509,3.15815962756365,0,0,2.75971983391352,3.65516084385354,0,0.0167764123642159,0,0,0,0,4.68271610116177,1.45535377259573
0,0,0,0,0,0,0,0,0.274748009732038,0.0678594481868287,0,0.423707774044589,0,0,0,0,0,0.135718896373657,0,0,5.49164997765604,0,0,0,0,0,0,0.574322646849501,0.420397557059865,0.327711481487612,0.00331021698472335,0,0,0,0,0,0.0264817358777868,1.61538588854499,0.0728247736639137,0,0,5.26986543967957,0,0,0,0,0,0,1.37539515715255,0.585908406296033
0,0,0,0,0,0,0,0,0.477522341223822,0.375196125247288,0,0.293335152466062,0,0,0,0,0.586670304932124,0.0818609727812265,0,0,3.93160060940946,0,0,2.55360756759215,0,0,0,0.97550992564295,0,0.0568478977647407,0.00454783182117925,0,0,0,0,0,0.0159174113741274,1.40982786456557,0.0204652431953066,0,0,0.800418400527548,0,0,0,0,0,0,1.16879277804307,0.470700593492053
0,0,0,0,0,0,0,0,0.30000797893561,0.08457671746589,0,0.12287560839384,0,0,0,0,0,0.127662969759834,0,0,10.4284688422564,0,0,0,0,0,0,0.880874491342855,0,0.231389132689699,0,0.00797893560998963,0,0,0,0,0.0063831484879917,2.23569775791909,0.671826378361127,0,0,2.42400063831485,0,0,0,0,0,0,3.79797335035506,0.405329928987473
0,0,0,0,0,0,0,0,0,1.01777370004481,0,0.375530757249237,0,0.0618772270467493,0,0,0.0234706723280773,0.174963193718395,0,0,7.24603665692278,0,0,0.006401092453112,0,0,0,1.72829496234024,0,0.125888151577869,0.00426739496874133,0,0,0,0,0,0.0234706723280773,0.708387564811061,0.305118740265005,0,0,2.61591311583844,0,0,0,0,0,0,0.334990505046195,0.413937311967909
0,0,0,0,0,0,0,0,0.0127866337055664,0.187537294348308,0,0.213110561759441,0,0,0,0,0.0255732674111329,0,0,0,5.45563038104168,0,0,0,0,0,0,1.3724320177308,0.281305941522462,0.208848350524252,0.0213110561759441,0,0,0,0,0,0,2.42946040405763,0.39638564487256,0,0,0.907850993095218,0,0.0170488449407553,0,0,0,0.0170488449407553,1.63668911431251,1.38948086267155
0,0,0,0,0,0,0,0,0,0.586517400827452,0,0.318812363105378,0,0,0,0,0.377220734972013,0.0486736432221952,0,0,5.63154052080798,0,0,0,0,0,0,3.4412265758092,0,0.0949136042832806,0.00730104648332928,0,0,0,0,0,0.0170357751277683,3.8403504502312,0.0194694572888781,0,0,1.05621805792164,0,0,0,0,0,0,0.372353370649793,0
0,0,0,0,0,0,0,0,0.137728399595997,0.781991246595048,0,0.307593425764393,0,0.0351972576745325,0,0,0.668747895816117,0.0612126220426652,0,0,4.90772197227068,0,0,0,0,0,0,0.595292749364919,0,0.029075995470266,0.00612126220426652,0,0,0,0,0,0.0275456799191993,2.49441434823861,0.139258715147063,0,0,0.716187677899183,0,0,0,0,0,0.0795764086554648,3.55645334067885,1.34055642273437
0,0,0,0,0,0,0,0,0.100988045198974,0.11599978164747,0,0.181505540695453,0,0.339811125061412,0,0,0,0.176046727441454,0,0,8.31104317921284,0.023199956329494,0,0,0,0,0,0.908892406790764,0,0,0,0,0,0,0,0,0.00409410994049894,0.00409410994049894,2.27905453354441,0,0,0.42442273049839,0,0,0,0,0,0.0409410994049894,0,0
0,0,0,0,0,0,0,0,0.0668961803912611,1.19107833379562,0,0.345902201047496,0,0,0,0,0,0.115844605067794,0,0,6.09897371469595,0,0,0,0,0,0,0.575959797027199,0,0.316533146241577,0.0130529132470753,0,0,0,0,0,0.0163161415588442,1.34281845029287,1.41134624484002,0,0,0.0310006689618039,0,0,0,0,0,0,1.44561014211359,0.445430664556446
0,0,0,0,0,0,0,0,0.176069076963894,0.815223945394467,0,0.342490533272232,0,0,0.0434142929500012,0,0,0.0844166807361135,0,0,3.61303393550566,0,0,0,0,0,0,0.164009551144449,0.236366706061118,0.159185740816671,0.00723571549166687,0,0,0.00723571549166687,0,0,0,1.79928125226116,0.610212006463906,0,0,3.81081015894455,0,0,0,0,0,0,2.4673789826584,1.60632883915004
0,0,0,0,0,0,0,0,0.25856897586,5.98638892911073,0,0.26477463128064,0,0,0.0889477276958401,0,0,0.0972219349233601,0,0,5.00382682084273,0,0,0,0,0,0,0.378544980659041,0,0.1241131084128,0,0,0,0,0,0,0,2.63326645015824,0.475766915582401,0,0,2.4408911321184,0,0,0,0,0,0,2.60016962124816,0.978425004654242
0,0,0,0,0,0,0,0,0.683657013686924,1.36731402737385,0.00275668150680211,0.47001419690976,0,0,0,0,0.606469931496465,0.0344585188350264,0,0,1.81389643147579,0.00275668150680211,0,0.00551336301360422,0,0,0,0.261884743146201,0,0.184697660955741,0,0,0,0.00413502226020317,0,0,0.0137834075340106,3.53544403247371,0.0289451558214222,0,0,1.9544871883227,0,0.0206751113010158,0,0,0,0,1.27634353764938,1.51617482874116
1,0,0,0,0,0,0,0,0.0276565061930819,0.357559115781988,0,0.213350190632346,0,0,0.013828253096541,0,0,0.013828253096541,0,0,5.15003654609747,0,0,0.402994804527765,0,0,0,1.15564686592521,0.452381422729697,0.20347286699196,0.00395092945615456,0,0,0,0,0,0.0651903360265502,0.782284032318603,0.0098773236403864,0,0,0.969953181485945,0,0,0,0,0,0.16001264297426,0.0908713774915549,0.0572884771142411
1,0,0,0,0,0,0,0,0.0475711279846309,0.805049858201445,0,0.406184246638002,0,0.0548897630591895,0,0,0.0146372701491172,0.31287164943738,0,0,7.6004025249291,0,0,0.0182965876863965,0,0,0,0.345805507272894,0.0036593175372793,0,0.00731863507455859,0.0036593175372793,0,0,0,0,0.0146372701491172,2.05470679718233,0,0,0,5.24746134845851,0,0,0,0,0,0.0036593175372793,1.04107583935596,0.0036593175372793
1,0,0,0,0,0,0,0,0,0.752923690695037,0,1.26725857550749,0,0.00391129189971448,0,0,0.275746078929871,0.0117338756991434,0,0,11.2625650252278,0,0,0,0,0,0,2.25681542613525,0,0.639496225603317,0.00782258379942895,0,0,0,0,0,0.0547580865960027,0.61602847420503,0,0,0,0.33245981147573,0,0,0,0,0,0.129072632690578,0.573004263308171,0.0567137325458599
1,0,0,0,0,0,0,0,0.0142310771146491,0,0,0.0213466156719737,0,0,0,0,0.0409143467046162,0.136974117228498,0,0,7.17424175042248,0,0,0,0,0,0,0.506982122209375,0,0.0925020012452192,0.00355776927866228,0,0,0.00533665391799342,0,0,0,1.82513563995375,0.0569243084585965,0,0,0.76492039491239,0,0,0,0,0,0.0195677310326425,1.12069732277862,0.254380503424353
1,0,0,0,0,0,0,0,0,0.206621056981496,0.00688736856604986,0.406354745396942,0,0,0.0160705266541164,0,0,0.293861058818128,0,0,11.5156802424354,0,0,0,0,0,0,1.11575370770008,0,0,0,0,0,0,0,0,0,6.54988750631342,0.0252536847421828,0,0,0.585426328114238,0,0,0,0,0,0,0.119381055144864,0.247945268377795
1,0,0,0,0,0,0,0,0.036667888929631,1.37171239041301,0,0.575019167305577,0,0.00666688889629654,0,0,0,0,0,0,8.53028434281143,0,0,0,0,0,0,0.993366445548185,0,0.103336777892596,0,0,0,0.00666688889629654,0,0,0,1.34504483482783,0.0133337777925931,0,0,2.28674289142971,0,0,0,0,0,0.0483349444981499,1.57505250175006,0.456681889396313
1,0,0,0,0,0,0,0,0,0,0,0.448058413541321,0,0,0,0,0,0,0,0,9.76877973227127,0.00553158535236199,0,0,0,0,0,3.83062285651068,0,0.157650182542317,0.00553158535236199,0,0,0,0,0,0.0248921340856289,0.951432680606262,0.011063170704724,0,0,0,0,0,0,0,0,0,0.121694877751964,0.0525500608474389
1,0,0,0,0,0,0,0,0,0.276243093922652,0,0.421221738960072,0,0.0176325379099565,0,0,0,0,0,0,7.47619607382156,0,0,0,0,0,0,3.88503585282708,0,0.0803260060342463,0,0,0,0,0,0,0.035265075819913,2.01010932173504,0.914932800438854,0,0,0.783668351553623,0,0,0,0,0,0.587751263665217,0.967830414168724,0.0666118098820579
1,0,0,0,0,0,0,0,0,0,0,0.0218470705064548,0,0.0218470705064548,0,0,0,0,0,0,5.33267130089374,0,0,0,0,0,0,1.30883813306852,0,0,0,0,0,0.0476663356504469,0,0,0.0258192651439921,0.732869910625621,0,0,0,4.38927507447865,0,0,0,0,0,0,0,0.00595829195630586
1,0,0,0,0,0,0,0,0.0153653102512228,0.348280365694384,0.0102435401674819,0.345719480652514,0,0,0,0,0.0460959307536685,0,0,0,14.2487643729673,0,0,0,0,0,0,2.69917283413148,0,0.0358523905861866,0,0,0,0.00768265512561141,0,0,0.0128044252093524,2.78112115547133,0,0,0,0,0,0,0,0,0,0.194627263182156,0.473763732746037,0.176701067889062
1,0,0,0,0,0,0,0,0,0.413419735870724,0,0.531539660405217,0,0,0,0,0,0,0,0,7.39069805594291,0,0,0,0,0,0,0.882618324993848,0,0.100073824952834,0,0.00820277253711755,0,0.200147649905668,0,0,0.00492166352227053,1.04995488475105,0.0311705356410467,0,0,8.05676318595685,0,0,0,0,0,0.232958740054138,1.60282175375277,0.333032565006972
1,0,0,0,0,0,0,0,0,0.21642170239193,0,0.318045806123793,0,0.127971093588272,0,0,0,0.182547001147976,0,0,9.53384647232625,0,0,0,0,0,0,1.63727722679112,0,0.182547001147976,0,0.0037638556937727,0,0.0037638556937727,0,0,0.0470481961721588,1.2552458738732,1.75583868114496,0,0,1.21572538908858,0,0,0,0,0,0.0715132581816813,0.0395204847846134,0
1,0,0,0,0,0,0,0,0.00867202405041337,0.144533734173556,0,0.0578134936694224,0,0.0751575417702492,0,0,0,0.0317974215181823,0,0,1.90784529109094,0,0,0,0,0,0,0.251488697461988,0,0,0,0,0,0,0,0,0.0433601202520668,2.12753656703475,0.00578134936694224,0,0,0.705324622766954,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0.006519967400163,1.1279543602282,0,0.224938875305623,0,0,0,0,0,0.122249388753056,0,0,9.7799511002445,0,0,0,0,0,0,0.453137734311328,0,0.0342298288508558,0,0,0,0,0,0,0.0244498777506112,1.28280358598207,0.515077424612877,0,0,6.7400162999185,0,0,0,0,0,0,0.844335778321108,0.617766911165444
1,0,0,0,0,0,0,0,0.00591392285287638,0.487898635362302,0,0.378491062584089,0,0.0887088427931458,0,0,0.0901873235063649,0.125670860623623,0,0,7.94831231426586,0,0,0,0,0,0,1.49622248177773,0,0.0709670742345166,0.0133063264189719,0,0,0,0,0,0.045832902109792,2.42766533110576,0,0,0,3.40494108254358,0,0,0,0,0,0,1.80522495084052,0
1,0,0,0,0,0,0,0,0,0,0,0.0908841484326771,0,0.0651622196309761,0,0,0.0480142670965087,0.16804993483778,0,0,11.5131353316414,0,0,0,0,0,0,0.769943068797586,0,0,0.0205775430413609,0,0,0,0,0,0.0342959050689348,0.757939502023458,0,0,0,2.16921599561012,0,0,0,0,0,0.0531586528568489,0,0.250360107003224
1,0,0,0,0,0,0,0,0,0.423309323046462,0,0.450619601952685,0,0,0,0,0,0,0,0,11.1920936742566,0,0,0,0,0,0,1.19653159457891,0,0.0648619124022804,0.00512067729491687,0,0,0,0,0,0.0221896016113065,1.22384187348513,0,0,0,0,0,0,0,0,0,0,0.331137131737958,0.0938790837401427
1,0,0,0,0,0,0,0,0.0213743721278187,0.867799508389441,0,0.393288447151865,0,0,0,0,0,0.0619856791706744,0,0,8.29753126001924,0,0,0,0,0,0,1.81254675643903,0,0.207331409639842,0,0,0,0,0,0,0,7.55156567275836,0.192369349150369,0,0,3.69990381532542,0,0,0,0,0,0,0.728866089558619,0.327027893555627
1,0,0,0,0,0,0,0,0.0547120776911503,0.70441800027356,0,0.235945835043086,0,0.0034195048556969,0,0,0,0,0,0,4.37183695800848,0,0,0,0,0,0,1.29086308302558,0,0.213719053481056,0,0,0,0,0,0,0.00683900971139379,0,0.208589796197511,0,0,5.53959786622897,0,0,0,0,0,0.0324852961291205,1.62255505402818,0.641157160443168
1,0,0,0,0,0,0,0,0.0304116780843844,0,0,0,0,0.388949356552916,0,0,0,0,0,0,2.54977911518023,0,0,0,0,0,0,0.697867981304821,0,0,0,0,0,0,0,0,0.0256098341763237,3.40290671617901,0,0,0,5.2532172354184,0,0,0,0,0,0.0368141366284653,0,0.0656252000768295
1,0,0,0,0,0,0,0,0,0,0,1.14836854774004,0,0.262436480342338,0,0,0,0,0,0,4.13044931799946,0,0,0,0,0,0,2.50735490772934,0,0,0.0066862797539449,0.0601765177855041,0,0,0,0,0,0.976196844075956,0,0,0,2.791521797272,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0.0541824698870504,2.2569082649106,0,0.435543700245905,0,0.00625182344850582,0,0,0,0.187554703455174,0,0,8.47538865502438,0,0,0,0,0,0,1.80886091776768,0,0.127120410119618,0.0208394114950194,0,0,0,0,0,0.0187554703455174,1.05864210394698,0.750218813820698,0,0,1.94640103363481,0,0,0,0,0,0,3.9824115366982,1.14616763222607
1,0,0,0,0,0,0,0,0,0.140643565556876,0,0.293411576420379,0,0,0,0,0.0193991124906036,0.174592012415432,0,0,4.40359853536701,0,0,0.955406290162225,0,0,0,0.659569824680521,0,0.0363733359198817,0.00969955624530178,0.00727466718397633,0,0,0,0,0,1.639225005456,0,0,0,0.943281844855598,0,0.0169742234292781,0,0,0,0,0.950556512039574,0.147918232740852
1,0,0,0,0,0,0,0,0.0805365749304743,2.16190368328992,0.00377515194986598,0.156039613927794,0,0.0427850554318145,0,0,0,0,0,0,4.38798494972756,0.0151006077994639,0,0,0,0,0,0.203858205292763,0.0151006077994639,0,0.0201341437326186,0,0,0,0,0,0.0062919199164433,1.84730768746775,0.290686700139681,0,0,2.45384876741289,0,0,0,0,0,0,5.34813192897681,3.24914744485132
0,0,0,0,0,0,0,0,0,0.0968395105202923,1.10925257505062,0.281714939695396,0,0,0,0,0,0,0,0.00880359186548112,1.49661061713179,9.19975349942777,0,0,0,0.00880359186548112,0,0,0,0,0,0,0,0,0.325732899022801,0.0176071837309622,0,0.360947266484726,0.0880359186548112,0,0,0.15846465357866,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.639262476999829,0.028453819451031,0.542519490866324,0,0,0,0,0,0,0,2.30665629683024,2.17766564865224,0.18969212967354,0,0,0,0.00948460648367699,0,0,0,0,0,0,0,0,0.0929491435400345,0.0056907638902062,0,2.61395754690138,0.0227630555608248,0,0,0.163135231519244,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0272677694964552,0.0181785129976368,0.068169423741138,0,0,0,0,0,0,0,0.0136338847482276,0.299945464461007,1.02254135611707,0,0,0,0,0,0,0,0,0,0,0,0,0.940738047627704,0.595346300672605,0,1.98600254499182,0.0318123977458644,0,0,0.154517360479913,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0266098988823842,0.0217717354492235,0.00725724514974116,0,0,0,0,0,0,0,0.00725724514974116,0.280613479123325,1.62320383182544,0,0,0,0.00483816343316077,0,0,0,0,0,0,0,0,3.26576031738352,0.0145144902994823,0,0.781363394455465,0.0822487783637331,0,0,0.135468576128502,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.628647628283948,0.0536861610931195,0.465857333356424,0,0,0,0,0,0,0,0.0173181164816515,4.7451639159725,0.346362329633029,0,0,0,0.012122681537156,0,0,0,0,0,0,0,0,0.554179727412847,0.0138544931853212,0,0.301335226780735,0.0155863048334863,0,0,0.782778864970646,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.029935402552387,0.0173310225303293,0.261540885457697,0,0,0,0,0,0,0,0.0504175200882307,3.9136599968489,0.185914605325351,0,0,0,0.00157554750275721,0,0,0,0,0,0,0,0,0.0677485426185599,0.00787773751378604,0,3.24405230817709,0.634945643611155,0,0,4.13896328974319,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0526705942023331,0.50914907728922,0.0526705942023331,0,0,0,0,0,0,0,0.00195076274823456,0.257500682766962,2.06390698763216,0,0,0,0.00585228824470368,0,0,0,0,0,0,0,0,0.280909835745777,0.00195076274823456,0,0.216534665054036,0.017556864734111,0,0,0.189223986578752,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.2267750793481,0.0196141364430655,0.171177918048572,0,0,0,0,0,0,0,0.00713241325202382,3.4128597410934,1.43896437359581,0,0,0,0.00891551656502978,0,0,0,0,0,0,0,0,0.0855889590242859,0.00534930993901787,0,0.137298955101459,0.041011376199137,0,0,3.25238044292286,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.370926432924137,0.00883158173628897,0.114810562571757,0,0,0,0,0,0,0,0.0176631634725779,1.16576878919014,3.40015896847125,0,0,0,0.00883158173628897,0,0,0,0,0,0,0,0,0.494568577232182,0.00883158173628897,0,0.891989755365186,0.0176631634725779,0,0,1.94294798198357,0,0,0,0,0,0,0,0
