,Sample accession
474,SRR16112825
475,SRR16112826
476,SRR16112827
477,SRR16112828
478,SRR16112829
479,SRR16112830
480,SRR16112832
481,SRR16112833
482,SRR16112834
483,SRR16112835
484,SRR16112836
485,SRR16112837
486,SRR16112838
487,SRR16112839
488,SRR16112840
489,SRR16112841
490,SRR16112842
491,SRR16112843
492,SRR16112844
493,SRR16112845
494,SRR16112846
495,SRR16112847
496,SRR16112848
497,SRR16112849
498,SRR16112850
499,SRR16112851
500,SRR16112852
501,SRR16112853
502,SRR16112854
503,SRR16112855
504,SRR16112856
505,SRR16112857
506,SRR16112858
507,SRR16112859
508,SRR16112860
509,SRR16112861
510,SRR16112862
511,SRR16112863
512,SRR16112864
513,SRR16112865
514,SRR16112866
515,SRR16112867
516,SRR16112868
517,SRR16112869
518,SRR16112870
519,SRR16112871
520,SRR16112872
521,SRR16112873
522,SRR16112874
523,SRR16112875
524,SRR16112876
525,SRR16112877
526,SRR16112878
527,SRR16112879
528,SRR16112880
529,SRR16112881
530,SRR16112882
531,SRR16112883
532,SRR16112884
533,SRR16112885
534,SRR16112886
535,SRR16112887
536,SRR16112888
537,SRR16112889
538,SRR16112890
539,SRR16112891
540,SRR16112892
541,SRR16112893
542,SRR16112894
543,SRR16112895
544,SRR16112896
545,SRR16112897
546,SRR16112898
547,SRR16112899
548,SRR16112900
549,SRR16112901
550,SRR16112902
551,SRR16112903
552,SRR16112904
553,SRR16112905
554,SRR16112906
555,SRR16112907
556,SRR16112908
557,SRR16112909
558,SRR16112910
559,SRR16112911
560,SRR16112912
561,SRR16112913
562,SRR16112914
563,SRR16112915
564,SRR16112916
565,SRR16112917
566,SRR16112918
567,SRR16112919
568,SRR16112920
569,SRR16112921
570,SRR16112922
571,SRR16112923
572,SRR16112924
573,SRR16112925
574,SRR16112926
575,SRR16112927
576,SRR16112928
577,SRR16112929
578,SRR16112930
579,SRR16112931
580,SRR16112932
581,SRR16112933
582,SRR16112934
583,SRR16112935
584,SRR16112936
585,SRR16112937
586,SRR16112938
587,SRR16112939
588,SRR16112940
589,SRR16112941
590,SRR16112942
591,SRR16112943
592,SRR16112944
593,SRR16112945
594,SRR16112946
595,SRR16112947
596,SRR16112948
597,SRR16112949
598,SRR16112950
599,SRR16112951
600,SRR16112952
601,SRR16112953
602,SRR16112954
603,SRR16112955
604,SRR16112956
605,SRR16112957
606,SRR16112958
607,SRR16112959
608,SRR16112960
609,SRR16112961
610,SRR16112962
611,SRR16112963
612,SRR16112964
613,SRR16112965
614,SRR16112966
615,SRR16112967
616,SRR16112968
617,SRR16112969
618,SRR16112970
619,SRR16112971
620,SRR16112972
621,SRR16112973
622,SRR16112974
623,SRR16112975
624,SRR16112976
625,SRR16112977
626,SRR16112978
627,SRR16112979
628,SRR16112980
629,SRR16112981
630,SRR16112982
631,SRR16112983
632,SRR16112984
633,SRR16112985
634,SRR16112986
635,SRR16112987
636,SRR16112988
637,SRR16112989
638,SRR16112990
639,SRR16112991
640,SRR16112992
641,SRR16112993
642,SRR16112994
643,SRR16112995
644,SRR16112996
645,SRR16112997
646,SRR16112998
647,SRR16112999
648,SRR16113000
649,SRR16113001
650,SRR16113002
651,SRR16113003
652,SRR16113004
653,SRR16113005
654,SRR16113006
655,SRR16113007
656,SRR16113008
657,SRR16113009
658,SRR16113010
659,SRR16113011
660,SRR16113012
661,SRR16113013
662,SRR16113014
663,SRR16113015
664,SRR16113016
665,SRR16113017
666,SRR16113018
667,SRR16113019
668,SRR16113020
669,SRR16113021
670,SRR16113022
671,SRR16113023
672,SRR16113024
673,SRR16113025
674,SRR16113026
675,SRR16113027
676,SRR16113028
677,SRR16113029
678,SRR16113030
679,SRR16113031
680,SRR16113032
681,SRR16113033
682,SRR16113034
683,SRR16113035
684,SRR16113036
685,SRR16113037
686,SRR16113038
687,SRR16113039
688,SRR16113040
689,SRR16113041
690,SRR16113042
691,SRR16113043
692,SRR16113044
693,SRR16113045
694,SRR16113046
695,SRR16113047
696,SRR16113048
697,SRR16113049
698,SRR16113050
699,SRR16113051
700,SRR16113052
701,SRR16113053
702,SRR16113054
703,SRR16113055
704,SRR16113056
705,SRR16113057
706,SRR16113058
707,SRR16113059
708,SRR16113060
709,SRR16113061
710,SRR16113062
711,SRR16113063
712,SRR16113064
713,SRR16113065
714,SRR16113066
715,SRR16113067
716,SRR16113068
717,SRR16113069
718,SRR16113070
719,SRR16113071
720,SRR16113072
721,SRR16113073
722,SRR16113074
723,SRR16113075
724,SRR16113076
725,SRR16113077
726,SRR16113078
727,SRR16113079
728,SRR16113080
729,SRR16113081
730,SRR16113082
731,SRR16113083
732,SRR16113084
733,SRR16113085
734,SRR16113086
735,SRR16113087
736,SRR16113088
737,SRR16113089
738,SRR16113090
739,SRR16113091
740,SRR16113092
741,SRR16113093
742,SRR16113094
743,SRR16113095
744,SRR16113096
745,SRR16113097
746,SRR16113098
747,SRR16113099
748,SRR16113100
749,SRR16113101
750,SRR16113102
751,SRR16113103
752,SRR16113104
753,SRR16113105
754,SRR16113106
755,SRR16113107
756,SRR16113108
757,SRR16113109
758,SRR16113110
759,SRR16113111
760,SRR16113112
761,SRR16113113
762,SRR16113114
763,SRR16113115
764,SRR16113116
765,SRR16113117
766,SRR16113118
767,SRR16113119
768,SRR16113120
769,SRR16113121
770,SRR16113122
771,DRR207805
772,DRR207806
773,DRR207807
774,DRR207808
775,DRR207810
776,DRR207811
777,DRR207812
778,DRR207813
779,DRR207814
780,DRR207815
781,DRR207816
782,DRR207817
783,DRR207818
784,DRR207819
785,DRR207820
786,DRR207821
787,DRR207822
788,DRR207823
789,DRR207824
790,DRR207825
791,DRR207826
792,DRR207827
793,DRR207828
794,DRR207829
795,DRR207830
796,DRR207831
797,DRR207832
798,DRR207833
799,DRR207834
800,DRR207835
801,DRR207836
